"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
1,1,"Apr 2","","SFG","W,6-5",38,38,6,13,1,1,1,6,0,0,12,0,0,0,0,1,0,0,0.342,0.342,0.5,0.842,6,"18","L","M.Bumgarner(64)","ARI","Home"
2,2,"Apr 4","","SFG","L,4-8",38,34,4,7,0,0,2,4,4,0,11,0,0,0,0,0,1,0,0.278,0.316,0.444,0.76,7,"15","R","J.Cueto(42)","ARI","Home"
3,3,"Apr 5","","SFG","W,8-6",40,36,8,12,7,0,0,6,4,0,7,0,0,0,1,0,3,2,0.296,0.345,0.472,0.817,8,"17","L","M.Moore(35)","ARI","Home"
4,4,"Apr 6","","SFG","W,9-3",39,34,9,11,2,0,3,9,5,0,10,0,0,0,0,1,0,0,0.303,0.361,0.514,0.875,6,"15","R","J.Samardzija(35)","ARI","Home"
5,5,"Apr 7","","CLE","W,7-3",39,34,7,11,3,1,0,7,4,0,8,1,0,0,0,1,0,0,0.307,0.371,0.506,0.877,8,"13","R","J.Tomlin(31)","ARI","Home"
6,6,"Apr 8","","CLE","W,11-2",41,38,11,15,3,1,1,10,3,1,8,0,0,0,0,1,1,0,0.322,0.383,0.523,0.906,6,"14","R","T.Bauer(46)","ARI","Home"
7,7,"Apr 9","","CLE","W,3-2",33,32,3,8,1,0,1,2,1,0,6,0,0,0,0,0,4,0,0.313,0.369,0.504,0.873,6,"14","R","C.Kluber(53)","ARI","Home"
8,8,"Apr 10","@","SFG","L,1-4",32,31,1,4,2,0,1,1,0,0,5,1,0,0,0,0,0,0,0.292,0.347,0.48,0.827,4,"12","L","M.Moore(77)","ARI","Away"
9,9,"Apr 11","@","SFG","W,4-3",41,35,4,9,1,1,0,4,4,0,12,1,1,0,0,0,0,0,0.288,0.347,0.465,0.812,10,"13","R","J.Samardzija(55)","ARI","Away"
10,10,"Apr 12","@","SFG","L,2-6",38,34,2,8,1,1,0,2,3,0,12,0,0,1,0,0,2,0,0.283,0.341,0.451,0.792,9,"14","R","M.Cain(56)","ARI","Away"
11,11,"Apr 14","@","LAD","L,1-7",32,30,1,4,1,0,0,1,2,0,9,0,0,0,0,1,0,0,0.271,0.329,0.428,0.757,4,"14","L","C.Kershaw(78)","ARI","Away"
12,12,"Apr 15","@","LAD","L,4-8",35,34,4,5,1,0,1,4,1,0,12,0,0,0,3,0,1,0,0.261,0.317,0.415,0.731,4,"15","R","K.Maeda(42)","ARI","Away"
13,13,"Apr 16","@","LAD","W,3-1",37,33,3,9,0,0,1,3,4,0,7,0,0,0,0,2,0,1,0.262,0.32,0.411,0.73,7,"14","L","R.Hill(41)","ARI","Away"
14,14,"Apr 17","@","LAD","W,4-2",40,35,4,10,0,1,1,4,5,1,14,0,0,0,0,0,1,2,0.264,0.324,0.412,0.736,9,"13","R","B.McCarthy(54)","ARI","Away"
15,15,"Apr 18","@","SDP","W,11-2",48,38,11,9,0,1,2,9,9,0,8,0,0,1,3,0,1,0,0.262,0.328,0.415,0.743,10,"15","R","J.Cosart(49)","ARI","Away"
16,16,"Apr 19","@","SDP","L,0-1",31,30,0,4,0,0,0,0,1,0,7,0,0,0,0,0,1,1,0.255,0.319,0.399,0.719,4,"9","R","J.Chacin(80)","ARI","Away"
17,17,"Apr 20","@","SDP","L,1-4",36,36,1,9,3,0,0,1,0,0,14,0,0,0,0,1,1,0,0.254,0.316,0.395,0.711,8,"13","L","C.Richard(60)","ARI","Away"
18,18,"Apr 21","","LAD","W,13-5",46,38,13,14,6,0,1,12,8,2,11,0,0,0,0,0,0,0,0.261,0.327,0.408,0.735,9,"16","L","A.Wood(39)","ARI","Home"
19,19,"Apr 22","","LAD","W,11-5",41,37,11,14,5,0,4,11,3,0,7,0,1,0,1,1,0,0,0.268,0.332,0.432,0.764,6,"16","R","K.Maeda(29)","ARI","Home"
20,20,"Apr 23","","LAD","L,2-6",34,33,2,7,1,0,1,2,1,0,8,0,0,0,0,0,0,0,0.265,0.328,0.428,0.755,5,"14","R","B.McCarthy(64)","ARI","Home"
21,21,"Apr 24","","SDP","W,7-6",37,34,7,10,1,0,2,7,2,0,8,1,0,0,1,0,4,0,0.267,0.329,0.431,0.76,6,"17","R","J.Chacin(32)","ARI","Home"
22,22,"Apr 25","","SDP","W,9-3",42,36,9,16,3,1,2,9,3,0,8,0,2,1,0,0,2,1,0.275,0.336,0.446,0.782,9,"13","L","C.Richard(20)","ARI","Home"
23,23,"Apr 26","","SDP","L,5-8",42,36,5,11,3,0,0,5,5,0,13,1,0,0,0,1,3,1,0.276,0.339,0.443,0.783,10,"14","R","T.Cahill(36)","ARI","Home"
24,24,"Apr 27","","SDP","W,6-2",34,31,6,8,2,0,3,5,3,0,2,0,0,0,0,0,2,0,0.276,0.338,0.45,0.788,4,"10","R","J.Weaver(36)","ARI","Home"
25,25,"Apr 28","","COL","L,1-3",35,32,1,6,0,0,0,1,3,0,6,0,0,0,0,1,3,0,0.272,0.335,0.44,0.775,7,"13","L","K.Freeland(56)","ARI","Home"
26,26,"Apr 29","","COL","L,6-7",39,35,6,8,1,0,3,6,3,0,4,1,0,0,1,1,2,0,0.271,0.334,0.443,0.777,6,"16","L","T.Anderson(28)","ARI","Home"
27,27,"Apr 30","","COL","W,2-0",51,47,2,11,2,0,1,2,3,1,13,1,0,0,0,0,0,0,0.269,0.332,0.438,0.77,13,"18","R","G.Marquez(67)","ARI","Home"
28,28,"May 2","@","WSN","W,6-3",41,35,6,10,0,0,3,6,5,1,10,1,0,0,0,1,4,1,0.269,0.335,0.442,0.776,8,"16","R","T.Roark(50)","ARI","Away"
29,29,"May 3","@","WSN","L,1-2",38,29,1,5,1,0,1,1,7,0,12,0,2,0,0,0,0,1,0.267,0.335,0.438,0.772,10,"14","L","G.Gonzalez(58)","ARI","Away"
30,30,"May 4","@","WSN","L,2-4",34,31,2,4,0,0,2,2,2,0,14,1,0,0,0,0,0,0,0.263,0.331,0.434,0.765,5,"13","R","M.Scherzer(78)","ARI","Away"
31,31,"May 5","@","COL","W,6-3",38,35,6,8,2,1,2,6,3,0,6,0,0,0,0,1,0,0,0.261,0.329,0.437,0.766,5,"12","R","G.Marquez(42)","ARI","Away"
32,32,"May 6","@","COL","L,1-9",34,33,1,7,1,0,0,1,1,0,13,0,0,0,1,1,0,0,0.26,0.327,0.431,0.758,6,"12","L","T.Anderson(65)","ARI","Away"
33,33,"May 7","@","COL","L,2-5",31,27,2,3,0,0,0,1,4,0,7,0,0,0,0,2,1,0,0.256,0.324,0.424,0.748,2,"14","R","T.Chatwood(71)","ARI","Away"
34,34,"May 9","","DET","L,3-7",39,35,3,8,3,0,0,3,4,1,10,0,0,0,0,0,0,0,0.256,0.324,0.42,0.744,9,"16","R","J.Verlander(50)","ARI","Home"
35,35,"May 10","","DET","W,7-1",41,36,7,11,3,0,3,6,5,3,7,0,0,0,1,0,1,0,0.257,0.326,0.427,0.753,10,"11","L","M.Boyd(45)","ARI","Home"
36,36,"May 11","","PIT","W,2-1",31,29,2,7,4,0,0,2,1,0,6,0,1,0,0,1,0,0,0.257,0.325,0.426,0.75,5,"11","R","G.Cole(59)","ARI","Home"
37,37,"May 12","","PIT","W,11-4",43,39,11,16,2,1,2,11,3,0,11,1,0,0,0,0,1,1,0.261,0.329,0.433,0.762,8,"16","R","T.Glasnow(16)","ARI","Home"
38,38,"May 13","","PIT","L,3-4",37,34,3,8,1,0,3,3,3,0,6,0,0,0,0,0,0,0,0.261,0.328,0.436,0.764,7,"16","R","T.Williams(58)","ARI","Home"
39,39,"May 14","","PIT","L,4-6",49,42,4,14,2,0,2,4,6,1,9,1,0,0,0,2,1,0,0.263,0.331,0.438,0.77,15,"20","R","I.Nova(45)","ARI","Home"
40,40,"May 15","","NYM","W,7-3",39,36,7,13,3,0,4,7,3,1,8,0,0,0,0,0,0,0,0.266,0.333,0.447,0.781,8,"14","R","Z.Wheeler(59)","ARI","Home"
41,41,"May 16","","NYM","W,5-4",34,30,5,7,2,0,1,4,4,2,8,0,0,0,0,0,3,0,0.265,0.333,0.446,0.779,5,"14","L","T.Milone(38)","ARI","Home"
42,42,"May 17","","NYM","W,5-4",43,38,5,8,3,1,2,5,5,0,9,0,0,0,0,0,0,0,0.263,0.332,0.448,0.78,8,"17","R","M.Harvey(45)","ARI","Home"
43,43,"May 19","@","SDP","W,10-1",49,42,10,16,3,0,4,10,7,0,11,0,0,0,0,0,2,0,0.267,0.336,0.456,0.792,12,"13","R","J.Weaver(12)","ARI","Away"
44,44,"May 20","@","SDP","W,9-1",45,40,9,14,3,0,1,8,4,0,7,1,0,0,0,1,0,0,0.269,0.339,0.457,0.796,9,"14","R","L.Perdomo(6)","ARI","Away"
45,45,"May 21","@","SDP","L,1-5",32,32,1,5,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0.267,0.335,0.453,0.788,4,"11","L","C.Richard(79)","ARI","Away"
46,46,"May 22","","CHW","W,5-1",33,30,5,7,0,1,2,4,3,0,4,0,0,0,1,2,0,1,0.266,0.335,0.454,0.788,4,"10","R","M.Gonzalez(37)","ARI","Home"
47,47,"May 23","","CHW","W,5-4",31,31,5,9,1,1,2,5,0,0,6,0,0,0,0,1,1,0,0.266,0.334,0.456,0.79,2,"15","R","D.Covey(32)","ARI","Home"
48,48,"May 24","","CHW","W,8-6",34,31,8,10,3,0,1,8,1,0,11,1,0,1,0,0,1,0,0.268,0.334,0.457,0.791,2,"17","L","J.Quintana(22)","ARI","Home"
49,49,"May 25","@","MIL","W,4-0",36,34,4,9,2,0,2,3,2,0,8,0,0,0,1,2,1,0,0.267,0.334,0.458,0.792,5,"12","R","Z.Davies(46)","ARI","Away"
50,50,"May 26","@","MIL","W,4-2",42,38,4,7,3,0,2,3,4,1,7,0,0,0,2,1,0,0,0.266,0.332,0.457,0.789,8,"16","R","J.Guerra(61)","ARI","Away"
51,51,"May 27","@","MIL","L,1-6",32,28,1,3,0,0,0,1,4,0,12,0,0,0,0,2,0,0,0.263,0.33,0.452,0.782,4,"12","R","C.Anderson(83)","ARI","Away"
52,52,"May 28","@","MIL","L,5-9",39,36,5,11,4,0,0,5,2,0,11,0,0,1,0,1,0,0,0.264,0.33,0.451,0.781,7,"12","R","J.Nelson(69)","ARI","Away"
53,53,"May 29","@","PIT","L,3-4",37,33,3,7,1,0,1,3,1,0,6,2,1,0,0,0,0,0,0.263,0.329,0.449,0.778,7,"18","R","T.Williams(63)","ARI","Away"
54,54,"May 30","@","PIT","W,3-0",34,32,3,7,3,0,0,3,1,0,5,0,1,0,0,1,0,0,0.262,0.328,0.446,0.774,4,"10","R","I.Nova(55)","ARI","Away"
55,55,"May 31","@","PIT","W,6-5",61,54,6,14,5,1,2,6,6,1,14,0,1,0,0,1,0,0,0.262,0.328,0.448,0.776,13,"18","R","C.Kuhl(54)","ARI","Away"
56,56,"Jun 1","@","MIA","W,3-2",36,32,3,6,0,1,0,3,3,1,12,0,1,0,0,0,1,0,0.261,0.327,0.445,0.772,6,"16","L","J.Locke(66)","ARI","Away"
57,57,"Jun 2","@","MIA","L,5-7",36,35,5,9,1,0,2,5,1,0,4,0,0,0,0,1,0,0,0.261,0.326,0.445,0.771,4,"13","R","J.Urena(25)","ARI","Away"
58,58,"Jun 3","@","MIA","L,0-3",27,25,0,0,0,0,0,0,2,0,10,0,0,0,0,2,0,0,0.258,0.323,0.439,0.762,0,"13","R","E.Volquez(95)","ARI","Away"
59,59,"Jun 4","@","MIA","L,5-6",40,35,5,8,5,0,0,5,5,1,12,0,0,0,1,0,0,1,0.257,0.323,0.438,0.761,8,"13","R","V.Worley(31)","ARI","Away"
60,60,"Jun 6","","SDP","W,10-2",39,32,10,7,3,0,1,9,6,0,13,1,0,0,1,0,1,0,0.257,0.324,0.438,0.761,5,"12","R","D.Lamet(15)","ARI","Home"
61,61,"Jun 7","","SDP","W,7-4",38,28,7,7,0,0,2,6,8,0,8,0,1,1,0,1,3,0,0.256,0.325,0.438,0.763,7,"16","R","L.Perdomo(29)","ARI","Home"
62,62,"Jun 8","","SDP","W,15-3",43,37,15,15,6,0,2,15,5,0,9,1,0,0,0,1,0,1,0.259,0.328,0.443,0.771,4,"15","L","C.Richard(43)","ARI","Home"
63,63,"Jun 9","","MIL","L,6-8",41,35,6,8,2,1,1,6,4,0,8,1,0,1,1,0,0,0,0.259,0.328,0.443,0.771,8,"16","R","Z.Davies(47)","ARI","Home"
64,64,"Jun 10","","MIL","W,3-2",35,29,3,6,1,1,1,3,6,1,6,0,0,0,0,1,0,0,0.258,0.328,0.442,0.77,8,"13","R","J.Guerra(49)","ARI","Home"
65,65,"Jun 11","","MIL","W,11-1",40,36,11,13,3,0,4,11,4,0,12,0,0,0,0,0,2,1,0.26,0.33,0.448,0.777,5,"15","R","C.Anderson(67)","ARI","Home"
66,66,"Jun 13","@","DET","W,7-6",42,39,7,16,4,0,3,7,3,0,7,0,0,0,0,3,1,1,0.262,0.332,0.453,0.785,8,"10","R","B.Farmer(19)","ARI","Away"
67,67,"Jun 14","@","DET","W,2-1",31,29,2,6,1,0,0,2,1,0,7,0,0,1,0,2,0,0,0.261,0.33,0.45,0.781,2,"10","R","J.Zimmermann(68)","ARI","Away"
68,68,"Jun 16","@","PHI","W,5-4",41,37,5,12,0,1,1,5,3,0,8,0,0,1,1,1,0,1,0.262,0.331,0.45,0.781,9,"14","R","A.Nola(38)","ARI","Away"
69,69,"Jun 17","@","PHI","W,5-1",40,35,5,9,2,0,0,5,4,1,8,0,1,0,0,0,0,0,0.262,0.331,0.448,0.779,8,"14","R","J.Eickhoff(57)","ARI","Away"
70,70,"Jun 18","@","PHI","W,5-4",44,40,5,13,1,0,3,5,3,0,7,0,1,0,0,1,1,1,0.263,0.332,0.451,0.782,9,"15","R","B.Lively(49)","ARI","Away"
71,71,"Jun 20","@","COL","L,3-4",37,30,3,6,0,0,2,3,3,0,6,2,1,1,0,0,0,1,0.263,0.331,0.45,0.781,7,"12","R","G.Marquez(61)","ARI","Away"
72,72,"Jun 21","@","COL","W,16-5",51,46,16,20,6,0,1,15,4,1,7,1,0,0,0,1,0,0,0.266,0.334,0.453,0.787,8,"14","R","J.Hoffman(9)","ARI","Away"
73,73,"Jun 22","@","COL","W,10-3",42,37,10,11,0,0,2,10,4,0,10,0,1,0,0,0,0,0,0.266,0.335,0.453,0.788,5,"12","R","A.Senzatela(15)","ARI","Away"
74,74,"Jun 23","","PHI","L,1-6",34,32,1,6,2,1,0,1,2,0,11,0,0,0,0,0,1,0,0.265,0.333,0.452,0.785,6,"13","R","M.Leiter(70)","ARI","Home"
75,75,"Jun 24","","PHI","W,9-2",41,36,9,12,4,0,1,9,3,0,2,1,1,0,1,0,0,0,0.266,0.334,0.453,0.787,8,"14","R","B.Lively(36)","ARI","Home"
76,76,"Jun 25","","PHI","W,2-1",41,38,2,7,3,0,0,2,3,1,13,0,0,0,0,0,0,0,0.265,0.333,0.45,0.783,7,"18","R","J.Hellickson(69)","ARI","Home"
77,77,"Jun 26","","PHI","W,6-1",39,33,6,10,1,0,1,6,6,0,11,0,0,0,0,1,2,0,0.265,0.334,0.45,0.784,9,"13","R","N.Pivetta(18)","ARI","Home"
78,78,"Jun 27","","STL","W,6-5",45,36,6,10,2,0,1,6,5,0,12,2,1,1,0,0,0,0,0.266,0.335,0.449,0.784,11,"18","R","C.Martinez(63)","ARI","Home"
79,79,"Jun 28","","STL","L,3-4",38,35,3,9,3,0,0,2,3,0,10,0,0,0,0,1,1,0,0.266,0.335,0.448,0.782,8,"14","R","A.Wainwright(56)","ARI","Home"
80,80,"Jun 29","","STL","L,4-10",34,33,4,6,3,1,2,4,1,1,10,0,0,0,0,0,0,0,0.265,0.333,0.449,0.782,3,"13","R","L.Lynn(58)","ARI","Home"
81,81,"Jun 30","","COL","L,3-6",39,37,3,9,4,0,2,3,2,0,12,0,0,0,1,0,0,0,0.264,0.333,0.449,0.782,9,"13","R","J.Gray(59)","ARI","Home"
82,82,"Jul 1","","COL","W,6-2",37,32,6,8,4,3,0,5,4,1,6,0,0,1,2,1,0,0,0.264,0.332,0.451,0.783,7,"15","R","T.Chatwood(42)","ARI","Home"
83,83,"Jul 2","","COL","W,4-3",35,32,4,8,2,0,1,4,3,0,8,0,0,0,0,0,0,1,0.264,0.332,0.45,0.782,6,"14","R","G.Marquez(50)","ARI","Home"
84,84,"Jul 4","@","LAD","L,3-4",36,33,3,6,2,0,1,3,3,0,13,0,0,0,0,0,0,0,0.263,0.331,0.449,0.78,6,"15","L","C.Kershaw(82)","ARI","Away"
85,85,"Jul 5","@","LAD","L,0-1",34,30,0,4,1,0,0,0,3,0,14,0,1,0,0,0,0,0,0.262,0.33,0.446,0.776,7,"14","L","A.Wood(79)","ARI","Away"
86,86,"Jul 6","@","LAD","L,4-5",36,34,4,7,1,0,3,3,1,1,11,1,0,0,1,0,0,0,0.261,0.329,0.447,0.776,5,"15","L","R.Hill(78)","ARI","Away"
87,87,"Jul 7","","CIN","W,6-3",35,31,6,8,4,0,1,5,3,0,6,1,0,0,0,1,1,0,0.261,0.329,0.447,0.776,5,"13","R","T.Adleman(44)","ARI","Home"
88,88,"Jul 8","","CIN","L,0-7",34,31,0,3,0,0,0,0,3,0,10,0,0,0,1,0,0,0,0.259,0.328,0.443,0.771,7,"15","R","L.Castillo(75)","ARI","Home"
89,89,"Jul 9","","CIN","L,1-2",36,30,1,7,1,0,1,1,5,0,9,0,1,0,0,2,2,0,0.259,0.328,0.443,0.771,8,"13","R","H.Bailey(57)","ARI","Home"
90,90,"Jul 14","@","ATL","L,3-4",39,35,3,10,1,0,1,2,3,0,6,1,0,0,0,2,1,0,0.259,0.328,0.442,0.771,9,"14","R","R.Dickey(54)","ARI","Away"
91,91,"Jul 15","@","ATL","L,5-8",43,37,5,10,1,0,0,5,6,0,9,0,0,0,0,0,2,0,0.259,0.329,0.44,0.769,11,"15","R","M.Foltynewicz(43)","ARI","Away"
92,92,"Jul 16","@","ATL","L,1-7",33,30,1,4,0,0,0,1,3,0,9,0,0,0,0,1,0,0,0.258,0.328,0.438,0.765,5,"11","L","J.Garcia(69)","ARI","Away"
93,93,"Jul 18","@","CIN","W,11-2",45,35,11,12,6,1,2,11,9,1,6,0,0,1,0,2,0,0,0.259,0.33,0.441,0.77,7,"14","R","S.Romano(24)","ARI","Away"
94,94,"Jul 19","@","CIN","L,3-4",44,42,3,8,3,0,1,3,2,1,13,0,0,0,1,0,1,0,0.258,0.328,0.44,0.768,8,"17","R","T.Adleman(53)","ARI","Away"
95,95,"Jul 20","@","CIN","W,12-2",40,35,12,9,3,1,4,12,4,0,13,0,0,1,0,0,1,0,0.258,0.328,0.443,0.771,1,"13","R","L.Castillo(54)","ARI","Away"
96,96,"Jul 21","","WSN","W,6-5",42,37,6,12,4,1,3,6,5,3,15,0,0,0,0,0,0,0,0.259,0.329,0.446,0.775,11,"16","R","M.Scherzer(38)","ARI","Home"
97,97,"Jul 22","","WSN","L,3-4",34,31,3,4,2,1,0,3,2,0,13,0,0,1,1,0,0,0,0.258,0.328,0.444,0.772,4,"16","R","T.Roark(73)","ARI","Home"
98,98,"Jul 23","","WSN","L,2-6",40,33,2,6,0,0,0,2,7,0,10,0,0,0,0,0,1,0,0.257,0.328,0.442,0.769,11,"15","R","S.Strasburg(53)","ARI","Home"
99,99,"Jul 24","","ATL","W,10-2",45,35,10,13,4,0,2,10,7,0,7,1,2,0,0,0,0,0,0.258,0.33,0.444,0.773,11,"12","R","R.Dickey(34)","ARI","Home"
100,100,"Jul 25","","ATL","L,3-8",41,35,3,8,1,0,1,3,4,0,15,2,0,0,0,0,0,0,0.258,0.33,0.443,0.773,11,"15","R","M.Foltynewicz(60)","ARI","Home"
101,101,"Jul 26","","ATL","W,10-3",45,34,10,12,4,1,3,10,9,0,8,0,1,1,0,0,2,0,0.259,0.331,0.446,0.778,11,"14","R","A.Blair(27)","ARI","Home"
102,102,"Jul 27","@","STL","W,4-0",35,32,4,8,1,0,1,4,2,0,8,0,1,0,0,0,0,2,0.259,0.331,0.446,0.777,4,"11","R","L.Weaver(44)","ARI","Away"
103,103,"Jul 28","@","STL","L,0-1",34,33,0,7,3,0,0,0,1,0,10,0,0,0,0,1,0,0,0.258,0.33,0.444,0.774,7,"14","R","M.Wacha(70)","ARI","Away"
104,104,"Jul 29","@","STL","W,7-1",44,33,7,8,2,0,3,7,7,0,7,3,0,1,0,1,0,0,0.258,0.331,0.446,0.777,10,"12","R","M.Leake(49)","ARI","Away"
105,105,"Jul 30","@","STL","L,2-3",37,30,2,5,2,0,0,2,5,0,9,0,1,1,0,0,0,0,0.257,0.331,0.444,0.774,8,"15","R","L.Lynn(54)","ARI","Away"
106,106,"Aug 1","@","CHC","L,4-16",41,36,4,8,2,0,0,4,4,0,12,1,0,0,1,0,0,0,0.257,0.33,0.442,0.773,10,"16","L","J.Lester(46)","ARI","Away"
107,107,"Aug 2","@","CHC","W,3-0",36,31,3,4,2,0,0,3,4,1,11,1,0,0,1,1,1,0,0.256,0.33,0.44,0.77,6,"14","R","J.Arrieta(71)","ARI","Away"
108,108,"Aug 3","@","CHC","W,10-8",45,40,10,13,0,0,5,10,3,0,13,1,1,0,0,0,0,0,0.257,0.33,0.443,0.773,8,"17","L","J.Quintana(36)","ARI","Away"
109,109,"Aug 4","@","SFG","W,2-1",34,31,2,6,1,1,0,2,2,0,10,1,0,0,0,1,0,1,0.256,0.33,0.442,0.771,5,"13","L","M.Bumgarner(64)","ARI","Away"
110,110,"Aug 5","@","SFG","L,4-5",47,38,4,10,3,1,0,3,6,0,6,1,1,1,2,0,0,0,0.256,0.33,0.441,0.771,13,"17","R","C.Stratton(47)","ARI","Away"
111,111,"Aug 6","@","SFG","L,3-6",36,32,3,6,1,0,0,3,3,0,6,1,0,0,0,0,0,0,0.256,0.33,0.439,0.769,6,"14","R","J.Samardzija(51)","ARI","Away"
112,112,"Aug 8","","LAD","W,6-3",36,32,6,8,2,0,3,6,3,2,8,1,0,0,0,0,2,0,0.256,0.33,0.44,0.77,6,"15","R","K.Maeda(60)","ARI","Home"
113,113,"Aug 9","","LAD","L,2-3",35,33,2,7,3,0,1,2,1,0,7,1,0,0,0,1,0,0,0.255,0.329,0.44,0.769,6,"15","L","A.Wood(55)","ARI","Home"
114,114,"Aug 10","","LAD","L,6-8",40,36,6,10,1,0,2,6,3,0,14,0,1,0,0,0,2,0,0.256,0.329,0.44,0.77,7,"16","R","Y.Darvish(57)","ARI","Home"
115,115,"Aug 11","","CHC","L,3-8",35,30,3,5,0,0,2,3,5,0,9,0,0,0,0,2,0,0,0.255,0.329,0.44,0.769,5,"14","R","J.Lackey(52)","ARI","Home"
116,116,"Aug 12","","CHC","W,6-2",39,36,6,12,4,0,1,5,3,1,11,0,0,0,0,1,0,0,0.256,0.329,0.441,0.77,9,"14","L","J.Lester(51)","ARI","Home"
117,117,"Aug 13","","CHC","L,2-7",35,28,2,4,1,0,1,2,5,0,12,0,1,1,0,1,0,0,0.255,0.329,0.44,0.768,6,"15","R","J.Arrieta(65)","ARI","Home"
118,118,"Aug 14","","HOU","W,2-0",34,31,2,8,6,0,0,2,2,0,7,1,0,0,0,1,0,0,0.255,0.329,0.44,0.769,8,"13","R","C.McHugh(54)","ARI","Home"
119,119,"Aug 15","","HOU","L,4-9",38,34,4,8,3,0,0,4,4,0,17,0,0,0,0,1,0,0,0.255,0.329,0.439,0.767,7,"14","R","B.Peacock(42)","ARI","Home"
120,120,"Aug 16","@","HOU","L,5-9",38,34,5,9,1,0,3,5,4,0,13,0,0,0,0,2,1,0,0.255,0.329,0.44,0.769,6,"9","R","C.Morton(68)","ARI","Away"
121,121,"Aug 17","@","HOU","W,4-0",35,32,4,10,0,1,2,3,3,1,9,0,0,0,0,4,0,1,0.255,0.329,0.441,0.77,4,"10","R","M.Fiers(49)","ARI","Away"
122,122,"Aug 18","@","MIN","L,3-10",36,33,3,7,0,0,1,3,3,0,7,0,0,0,0,1,0,0,0.255,0.329,0.44,0.768,6,"9","R","E.Santana(49)","ARI","Away"
123,123,"Aug 19","@","MIN","L,0-5",30,29,0,2,2,0,0,0,1,0,8,0,0,0,0,0,0,0,0.254,0.327,0.437,0.765,3,"9","R","J.Berrios(79)","ARI","Away"
124,124,"Aug 20","@","MIN","L,5-12",38,36,5,9,3,0,3,5,2,0,8,0,0,0,1,0,1,0,0.254,0.327,0.439,0.766,6,"10","R","B.Colon(46)","ARI","Away"
125,125,"Aug 21","@","NYM","W,3-2",40,36,3,6,0,0,1,3,3,0,7,1,0,0,1,1,0,0,0.253,0.326,0.437,0.764,7,"18","R","R.Gsellman(61)","ARI","Away"
126,126,"Aug 22","@","NYM","W,7-4",40,35,7,8,3,0,2,6,4,0,7,0,1,0,1,0,0,0,0.253,0.326,0.437,0.764,6,"12","L","T.Milone(36)","ARI","Away"
127,127,"Aug 23","@","NYM","L,2-4",39,33,2,7,1,0,1,2,5,0,9,1,0,0,0,0,1,0,0.252,0.326,0.437,0.763,10,"14","R","C.Flexen(53)","ARI","Away"
128,128,"Aug 24","@","NYM","W,3-2",39,34,3,10,0,0,0,3,4,1,12,0,0,1,0,0,3,1,0.253,0.327,0.436,0.762,9,"15","R","R.Montero(45)","ARI","Away"
129,129,"Aug 25","","SFG","W,4-3",33,30,4,7,0,0,1,4,3,0,5,0,0,0,0,1,0,0,0.252,0.326,0.435,0.761,5,"14","L","T.Blach(39)","ARI","Home"
130,130,"Aug 26","","SFG","W,2-1",30,29,2,5,2,0,2,2,1,1,9,0,0,0,0,0,0,0,0.252,0.326,0.435,0.761,4,"14","L","M.Bumgarner(65)","ARI","Home"
131,131,"Aug 27","","SFG","W,11-0",43,32,11,11,0,0,4,9,8,0,11,1,1,1,0,1,1,1,0.253,0.327,0.437,0.764,8,"15","R","C.Stratton(61)","ARI","Home"
132,132,"Aug 29","","LAD","W,7-6",34,33,7,10,2,2,2,7,1,0,10,0,0,0,0,1,0,0,0.253,0.327,0.439,0.766,3,"14","L","R.Hill(24)","ARI","Home"
133,133,"Aug 30","","LAD","W,6-4",37,34,6,11,1,0,3,6,3,0,4,0,0,0,1,2,0,0,0.254,0.327,0.44,0.767,7,"14","L","H.Ryu(21)","ARI","Home"
134,134,"Aug 31","","LAD","W,8-1",36,32,8,10,4,0,2,8,3,0,9,1,0,0,0,2,1,0,0.254,0.328,0.441,0.769,4,"13","R","K.Maeda(18)","ARI","Home"
135,135,"Sep 1","@","COL","W,9-5",42,34,9,10,2,1,1,8,7,2,9,0,0,1,0,2,2,0,0.254,0.328,0.442,0.77,6,"20","L","K.Freeland(41)","ARI","Away"
136,136,"Sep 2","@","COL","W,6-2",42,35,6,8,1,0,1,4,6,0,10,0,1,0,1,0,1,0,0.254,0.328,0.441,0.769,9,"16","R","J.Gray(48)","ARI","Away"
137,137,"Sep 3","@","COL","W,5-1",37,36,5,9,2,0,3,5,0,0,11,0,1,0,1,0,0,0,0.254,0.328,0.442,0.77,5,"14","R","G.Marquez(53)","ARI","Away"
138,138,"Sep 4","@","LAD","W,13-0",42,40,13,14,1,0,6,13,2,0,11,0,0,0,0,1,0,0,0.255,0.328,0.445,0.773,2,"13","L","R.Hill(68)","ARI","Away"
139,139,"Sep 5","@","LAD","W,3-1",43,34,3,4,2,0,0,1,9,1,11,0,0,0,0,1,1,0,0.254,0.328,0.443,0.771,10,"16","L","H.Ryu(64)","ARI","Away"
140,140,"Sep 6","@","LAD","W,3-1",41,36,3,8,2,0,0,3,4,1,11,1,0,0,1,0,1,0,0.254,0.328,0.442,0.77,11,"14","R","K.Maeda(64)","ARI","Away"
